,Date,State,Confirmed,Deaths,Recovered
0,2020-01-30,Kerala,1,0,0
1,2020-01-31,Kerala,1,0,0
2,2020-02-01,Kerala,2,0,0
3,2020-02-02,Kerala,3,0,0
4,2020-02-03,Kerala,3,0,0
5,2020-02-04,Kerala,3,0,0
6,2020-02-05,Kerala,3,0,0
7,2020-02-06,Kerala,3,0,0
8,2020-02-07,Kerala,3,0,0
9,2020-02-08,Kerala,3,0,0
10,2020-02-09,Kerala,3,0,0
11,2020-02-10,Kerala,3,0,0
12,2020-02-11,Kerala,3,0,0
13,2020-02-12,Kerala,3,0,0
14,2020-02-13,Kerala,3,0,0
15,2020-02-14,Kerala,3,0,0
16,2020-02-15,Kerala,3,0,0
17,2020-02-16,Kerala,3,0,0
18,2020-02-17,Kerala,3,0,0
19,2020-02-18,Kerala,3,0,0
20,2020-02-19,Kerala,3,0,0
21,2020-02-20,Kerala,3,0,0
22,2020-02-21,Kerala,3,0,0
23,2020-02-22,Kerala,3,0,0
24,2020-02-23,Kerala,3,0,0
25,2020-02-24,Kerala,3,0,0
26,2020-02-25,Kerala,3,0,0
27,2020-02-26,Kerala,3,0,0
28,2020-02-27,Kerala,3,0,0
29,2020-02-28,Kerala,3,0,0
30,2020-02-29,Kerala,3,0,0
31,2020-03-01,Kerala,3,0,0
32,2020-03-02,Delhi,1,0,0
33,2020-03-02,Kerala,3,0,0
34,2020-03-02,Telengana,1,0,0
35,2020-03-03,Delhi,1,0,0
36,2020-03-03,Kerala,3,0,3
37,2020-03-03,Rajasthan,1,0,0
38,2020-03-03,Telengana,1,0,0
39,2020-03-04,Delhi,1,0,0
40,2020-03-04,Haryana,2,0,0
41,2020-03-04,Kerala,3,0,3
42,2020-03-04,Rajasthan,15,0,0
43,2020-03-04,Telengana,1,0,0
44,2020-03-04,Uttar Pradesh,6,0,0
45,2020-03-05,Delhi,2,0,0
46,2020-03-05,Haryana,2,0,0
47,2020-03-05,Kerala,3,0,3
48,2020-03-05,Rajasthan,15,0,0
49,2020-03-05,Telengana,1,0,0
50,2020-03-05,Uttar Pradesh,7,0,0
51,2020-03-06,Delhi,3,0,0
52,2020-03-06,Haryana,2,0,0
53,2020-03-06,Kerala,3,0,3
54,2020-03-06,Rajasthan,15,0,0
55,2020-03-06,Telengana,1,0,0
56,2020-03-06,Uttar Pradesh,7,0,0
57,2020-03-07,Delhi,3,0,0
58,2020-03-07,Haryana,2,0,0
59,2020-03-07,Kerala,3,0,3
60,2020-03-07,Ladakh,2,0,0
61,2020-03-07,Rajasthan,15,0,0
62,2020-03-07,Tamil Nadu,1,0,0
63,2020-03-07,Telengana,1,0,0
64,2020-03-07,Uttar Pradesh,7,0,0
65,2020-03-08,Delhi,3,0,0
66,2020-03-08,Haryana,2,0,0
67,2020-03-08,Kerala,8,0,3
68,2020-03-08,Ladakh,2,0,0
69,2020-03-08,Rajasthan,15,0,0
70,2020-03-08,Tamil Nadu,1,0,0
71,2020-03-08,Telengana,1,0,0
72,2020-03-08,Uttar Pradesh,7,0,0
73,2020-03-09,Delhi,4,0,0
74,2020-03-09,Haryana,2,0,0
75,2020-03-09,Jammu and Kashmir,1,0,0
76,2020-03-09,Karnataka,1,0,0
77,2020-03-09,Kerala,9,0,3
78,2020-03-09,Ladakh,2,0,0
79,2020-03-09,Maharashtra,2,0,0
80,2020-03-09,Punjab,1,0,0
81,2020-03-09,Rajasthan,15,0,0
82,2020-03-09,Tamil Nadu,1,0,0
83,2020-03-09,Telengana,1,0,0
84,2020-03-09,Uttar Pradesh,7,0,0
85,2020-03-10,Delhi,4,0,0
86,2020-03-10,Haryana,2,0,0
87,2020-03-10,Jammu and Kashmir,1,0,0
88,2020-03-10,Karnataka,4,0,0
89,2020-03-10,Kerala,15,0,3
90,2020-03-10,Ladakh,2,0,0
91,2020-03-10,Maharashtra,5,0,0
92,2020-03-10,Punjab,1,0,0
93,2020-03-10,Rajasthan,15,0,0
94,2020-03-10,Tamil Nadu,1,0,0
95,2020-03-10,Telengana,1,0,0
96,2020-03-10,Uttar Pradesh,7,0,0
97,2020-03-11,Delhi,5,0,0
98,2020-03-11,Haryana,14,0,0
99,2020-03-11,Jammu and Kashmir,1,0,0
100,2020-03-11,Karnataka,4,0,0
101,2020-03-11,Kerala,17,0,3
102,2020-03-11,Ladakh,2,0,0
103,2020-03-11,Maharashtra,2,0,0
104,2020-03-11,Punjab,1,0,0
105,2020-03-11,Rajasthan,3,0,0
106,2020-03-11,Tamil Nadu,1,0,0
107,2020-03-11,Telengana,1,0,0
108,2020-03-11,Uttar Pradesh,9,0,0
109,2020-03-12,Andhra Pradesh,1,0,0
110,2020-03-12,Delhi,6,0,0
111,2020-03-12,Haryana,14,0,0
112,2020-03-12,Jammu and Kashmir,1,0,0
113,2020-03-12,Karnataka,4,0,0
114,2020-03-12,Kerala,17,0,3
115,2020-03-12,Ladakh,3,0,0
116,2020-03-12,Maharashtra,11,0,0
117,2020-03-12,Punjab,1,0,0
118,2020-03-12,Rajasthan,3,0,0
119,2020-03-12,Tamil Nadu,1,0,0
120,2020-03-12,Telengana,1,0,0
121,2020-03-12,Uttar Pradesh,11,0,0
122,2020-03-13,Andhra Pradesh,1,0,0
123,2020-03-13,Delhi,6,0,0
124,2020-03-13,Haryana,14,0,0
125,2020-03-13,Jammu and Kashmir,1,0,0
126,2020-03-13,Karnataka,6,1,0
127,2020-03-13,Kerala,19,0,3
128,2020-03-13,Ladakh,3,0,0
129,2020-03-13,Maharashtra,14,0,0
130,2020-03-13,Punjab,1,0,0
131,2020-03-13,Rajasthan,3,0,0
132,2020-03-13,Tamil Nadu,1,0,0
133,2020-03-13,Telengana,1,0,0
134,2020-03-13,Uttar Pradesh,11,0,0
